epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))"
90,0.6919786738128297,0.41514551639556885,inf,0.039316899246639676,inf,inf,inf,0.7120244378017054,0.43121692538261414,inf,0.039160294002956814,inf,inf,inf
91,0.6954318230092111,0.40522485971450806,inf,0.038637799024581906,inf,inf,inf,0.7130850184294912,0.41534391045570374,inf,0.10392867194281684,inf,inf,inf
92,0.6946556912114222,0.40820106863975525,inf,0.0463014864259296,inf,inf,inf,0.713248647376895,0.4317460358142853,inf,0.023924488491482206,inf,inf,inf
93,0.6925641152852525,0.41124337911605835,inf,0.030256091554959615,inf,inf,inf,0.717010606576999,0.4095238149166107,inf,0.11110066837734646,inf,inf,inf
94,0.6896654908700536,0.41296297311782837,inf,0.0334512386057112,inf,inf,inf,0.7117456443193886,0.420634925365448,inf,0.07902953094906277,inf,inf,inf
95,0.6949713304121461,0.40707671642303467,inf,0.03720187180572086,inf,inf,inf,0.7105655406498247,0.42592594027519226,inf,0.03160415755377875,inf,inf,inf
96,0.6871551293879747,0.41620370745658875,inf,0.039465999272134566,inf,inf,inf,0.7116564492798514,0.4253968298435211,inf,0.0621172030766805,inf,inf,inf
97,0.6977841223693556,0.40839946269989014,inf,0.04671579897403717,inf,inf,inf,0.7114627175447014,0.40634921193122864,inf,0.025732490751478408,inf,inf,inf
98,0.6901454499663993,0.4115740656852722,inf,0.04530736638440026,inf,inf,inf,0.7098936847100655,0.4238095283508301,inf,0.07029670609368219,inf,inf,inf
99,0.6942881111624755,0.4119047522544861,inf,0.04332303073671129,inf,inf,inf,0.721720986896091,0.4095238149166107,inf,0.12829281753963895,inf,inf,inf
100,0.6911518222393676,0.413822740316391,inf,0.043094987670580544,inf,inf,inf,0.7161875596063004,0.3888888955116272,inf,0.12576045195261637,inf,inf,inf
